MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
san-miguel-de-sema,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2015b,[2170.3-2480.2],[0.8-280.71997],[18000.352-24000.3]
soata,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2015b,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
somondoco,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2015b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
sotaquira,papa,2015b,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
sutamarchan,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2015b,[1240.6-1550.5],[0.8-280.71997],[12000.4-18000.352]
topaga,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2015b,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
turmeque,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2015b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
tutaza,papa,2015b,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
tutaza,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2015b,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
ventaquemada,papa,2015b,[1240.6-1550.5],[0.8-280.71997],[36000.2-42000.15]
villa-de-leyva,papa,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2015b,[310.9-620.8],[560.63995-840.55994],[6000.45-12000.4]
ramiriqui,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
buenavista,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa-criolla,2015b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
almeida,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa,2018a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
arcabuco,papa,2018a,[1240.6-1550.5],[0.8-280.71997],[24000.3-30000.25]
belen,papa,2018a,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
beteitiva,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
buenavista,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
busbanza,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
caldas,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2018a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
