MUNICIPIO,CULTIVO,PERIODO,Area Sembrada (ha),Area Cosechada (ha),Produccion (t)
chiscas,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2014a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
socha,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2012a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
tibasosa,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2014b,[1240.6-1550.5],[0.8-280.71997],[36000.2-42000.15]
sativasur,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibasosa,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2014a,[2480.2-2790.0999],[0.8-280.71997],[18000.352-24000.3]
cuitiva,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2012b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
duitama,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
labranzagrande,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2014a,[1550.5-1860.4],[0.8-280.71997],[42000.15-48000.098]
beteitiva,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2013b,[930.69995-1240.6],[840.55994-1120.48],[6000.45-12000.4]
el-cocuy,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gameza,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
buenavista,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2012b,[930.69995-1240.6],[0.8-280.71997],[6000.45-12000.4]
ventaquemada,papa,2014a,[1240.6-1550.5],[0.8-280.71997],[30000.25-36000.2]
floresta,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2013a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
almeida,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
busbanza,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
labranzagrande,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
santa-rosa-de-viterbo,papa-criolla,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2016b,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
nuevo-colon,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2014b,[620.8-930.69995],[560.63995-840.55994],[18000.352-24000.3]
turmeque,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
topaga,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2012b,[1240.6-1550.5],[0.8-280.71997],[24000.3-30000.25]
gachantiva,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pesca,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2011a,[2480.2-2790.0999],[0.8-280.71997],[42000.15-48000.098]
soata,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sogamoso,papa,2014a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
villa-de-leyva,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2012a,[1.0-310.9],[0.8-280.71997],[6000.45-12000.4]
cerinza,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa-criolla,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
almeida,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2014b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
siachoque,papa,2016a,[310.9-620.8],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa,2011b,[2170.3-2480.2],[0.8-280.71997],[24000.3-30000.25]
pachavita,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivor,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2012a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
saboya,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chita,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2017a,[1860.4-2170.3],[0.8-280.71997],[36000.2-42000.15]
el-cocuy,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2017a,[1240.6-1550.5],[0.8-280.71997],[18000.352-24000.3]
labranzagrande,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongui,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa-criolla,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2013a,[1550.5-1860.4],[0.8-280.71997],[18000.352-24000.3]
mongui,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
labranzagrande,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
mongua,papa,2012b,[310.9-620.8],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2016b,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
chiquinquira,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa-criolla,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soata,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cienega,papa,2012a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
jerico,papa-criolla,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2014a,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
cucaita,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
topaga,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa-criolla,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
buenavista,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2013a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
garagoa,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
firavitoba,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2014b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
cucaita,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2017a,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
siachoque,papa,2017a,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
ventaquemada,papa,2012b,[2480.2-2790.0999],[0.8-280.71997],[48000.098-54000.047]
tibana,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chivata,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
boyaca,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ventaquemada,papa,2016a,[1550.5-1860.4],[0.8-280.71997],[36000.2-42000.15]
paipa,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2016a,[2170.3-2480.2],[0.8-280.71997],[42000.15-48000.098]
buenavista,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
topaga,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiscas,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
turmeque,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2017a,[1.0-310.9],[280.71997-560.63995],[6000.45-12000.4]
mongua,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2013b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
motavita,papa,2017a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
el-espino,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa-criolla,2017a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
motavita,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
susacon,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2011b,[310.9-620.8],[280.71997-560.63995],[12000.4-18000.352]
sotaquira,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
duitama,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2013b,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
tibana,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
motavita,papa,2011a,[620.8-930.69995],[280.71997-560.63995],[0.5-6000.45]
ventaquemada,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2017a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
sativanorte,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tota,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sora,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
garagoa,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
viracacha,papa,2013a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
chiscas,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sutamarchan,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa-criolla,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chinavita,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
gachantiva,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tipacoque,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2014b,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
siachoque,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2016a,[930.69995-1240.6],[840.55994-1120.48],[12000.4-18000.352]
ventaquemada,papa,2011a,[1860.4-2170.3],[0.8-280.71997],[18000.352-24000.3]
aquitania,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2013a,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
garagoa,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cuitiva,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
busbanza,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
iza,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socota,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa-criolla,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
belen,papa,2014b,[620.8-930.69995],[840.55994-1120.48],[12000.4-18000.352]
guican,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
oicata,papa,2012b,[310.9-620.8],[280.71997-560.63995],[12000.4-18000.352]
umbita,papa,2012a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
tunja,papa,2014a,[620.8-930.69995],[560.63995-840.55994],[12000.4-18000.352]
susacon,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
socha,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pachavita,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
la-uvita,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tibana,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cerinza,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2011a,[930.69995-1240.6],[0.8-280.71997],[6000.45-12000.4]
el-cocuy,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
toca,papa,2013a,[1240.6-1550.5],[0.8-280.71997],[12000.4-18000.352]
sativanorte,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
ramiriqui,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
labranzagrande,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
soraca,papa,2013b,[930.69995-1240.6],[0.8-280.71997],[24000.3-30000.25]
combita,papa,2012b,[310.9-620.8],[560.63995-840.55994],[6000.45-12000.4]
sora,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
rondon,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sotaquira,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
garagoa,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
combita,papa,2011a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
socha,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2013a,[930.69995-1240.6],[560.63995-840.55994],[12000.4-18000.352]
buenavista,papa-criolla,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
cucaita,papa,2016a,[1.0-310.9],[280.71997-560.63995],[0.5-6000.45]
motavita,papa,2012a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
oicata,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guican,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tuta,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
somondoco,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
santa-rosa-de-viterbo,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa-criolla,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
guacamayas,papa,2012b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jenesano,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
beteitiva,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
arcabuco,papa,2017a,[1240.6-1550.5],[0.8-280.71997],[18000.352-24000.3]
topaga,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquiza,papa,2013a,[620.8-930.69995],[560.63995-840.55994],[6000.45-12000.4]
ventaquemada,papa-criolla,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
oicata,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
floresta,papa,2017a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
san-miguel-de-sema,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tasco,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
siachoque,papa,2016a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
chiquinquira,papa-criolla,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
chiquinquira,papa,2014a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
panqueba,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
saboya,papa,2016a,[1860.4-2170.3],[0.8-280.71997],[36000.2-42000.15]
garagoa,papa,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tutaza,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
paipa,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tinjaca,papa-criolla,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
corrales,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativasur,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
el-cocuy,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
tunja,papa,2013b,[1550.5-1860.4],[0.8-280.71997],[18000.352-24000.3]
combita,papa,2011b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
jerico,papa,2011a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
aquitania,papa,2013b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
sativanorte,papa,2016a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2011b,[1550.5-1860.4],[0.8-280.71997],[30000.25-36000.2]
beteitiva,papa-criolla,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
samaca,papa,2017a,[620.8-930.69995],[560.63995-840.55994],[18000.352-24000.3]
cuitiva,papa-criolla,2013a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nobsa,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
nuevo-colon,papa,2012a,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
umbita,papa,2014a,[310.9-620.8],[280.71997-560.63995],[6000.45-12000.4]
gameza,papa,2014a,[310.9-620.8],[280.71997-560.63995],[0.5-6000.45]
guacamayas,papa,2014b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
pauna,papa,2016b,[1.0-310.9],[0.8-280.71997],[0.5-6000.45]
